INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	VALUE_CATEGORY	VALUE_CATEGORY_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_YEAR	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	24	Angola	AGO	17.57817062	-12.33724746	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	28	Antigua and Barbuda	ATG	-61.7999755	17.07761471	Latin America and the Caribbean	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	32	Argentina	ARG	-65.14563274	-35.19446255	Latin America and the Caribbean	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	51	Armenia	ARM	44.93839317	40.29499741	Northern Africa and Western Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	36	Australia	AUS	134.3499412	-25.57717202	Australia and New Zealand	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	44	Bahamas	BHS	-78.05111663	24.69546597	Latin America and the Caribbean	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	48	Bahrain	BHR	50.5490754	26.04407747	Northern Africa and Western Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	52	Barbados	BRB	-59.5346489	13.13648273	Latin America and the Caribbean	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	112	Belarus	BLR	28.04940161	53.54193075	Europe and Northern America	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	56	Belgium	BEL	4.660976456	50.64104975	Europe and Northern America	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	84	Belize	BLZ	-88.70199554	17.19965901	Latin America and the Caribbean	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	204	Benin	BEN	2.339933594	9.65401646	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	64	Bhutan	BTN	90.45098484	27.39598568	Central and Southern Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	68	Bolivia (Plurinational State of)	BOL	-64.66224284	-16.71273412	Latin America and the Caribbean	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	70	Bosnia and Herzegovina	BIH	17.78584332	44.16845548	Europe and Northern America	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	72	Botswana	BWA	23.81380223	-22.18810073	Sub-Saharan Africa	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	76	Brazil	BRA	-53.08432878	-10.77668561	Latin America and the Caribbean	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	100	Bulgaria	BGR	25.23763153	42.75731323	Europe and Northern America	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	854	Burkina Faso	BFA	-1.742843829	12.27491081	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	108	Burundi	BDI	29.89080992	-3.366387428	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	132	Cabo Verde	CPV	-23.63544151	15.07791834	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	116	Cambodia	KHM	104.922836	12.71163737	Eastern and South-Eastern Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	120	Cameroon	CMR	12.7419827	5.692387031	Sub-Saharan Africa	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	124	Canada	CAN	-101.6575058	57.72360191	Europe and Northern America	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	148	Chad	TCD	18.66618401	15.36279341	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	152	Chile	CHL	-71.23029019	-35.2652885	Latin America and the Caribbean	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	156	China	CHN	104.1403375	32.30955217	Eastern and South-Eastern Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	170	Colombia	COL	-73.07446751	3.888209046	Latin America and the Caribbean	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	178	Congo	COG	15.22052612	-0.840544119	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	188	Costa Rica	CRI	-84.19712782	9.970998683	Latin America and the Caribbean	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	384	C̫te d'Ivoire	CIV	-5.552690016	7.62211586	Sub-Saharan Africa	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	191	Croatia	HRV	17.95874553	45.45172212	Europe and Northern America	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	192	Cuba	CUB	-79.54460144	22.10030366	Latin America and the Caribbean	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	196	Cyprus	CYP	33.22285964	35.05659437	Northern Africa and Western Asia	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	203	Czechia	CZE	15.33151382	49.73913871	Europe and Northern America	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	408	Democratic People's Republic of Korea	PRK	127.1803633	40.1462645	Eastern and South-Eastern Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	180	Democratic Republic of the Congo	COD	23.65496507	-2.877154732	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	208	Denmark	DNK	9.326571283	56.03829721	Europe and Northern America	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	262	Djibouti	DJI	42.18274707	11.56004161	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	212	Dominica	DMA	-61.3493756	15.43391378	Latin America and the Caribbean	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	214	Dominican Republic	DOM	-70.49847576	18.89832088	Latin America and the Caribbean	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	218	Ecuador	ECU	-78.37005241	-1.447785891	Latin America and the Caribbean	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	818	Egypt	EGY	29.77468534	26.57438204	Northern Africa and Western Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	222	El Salvador	SLV	-88.86862995	13.73603564	Latin America and the Caribbean	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	226	Equatorial Guinea	GNQ	10.46535826	1.565792376	Sub-Saharan Africa	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	232	Eritrea	ERI	38.11074289	16.12894644	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	233	Estonia	EST	25.84093481	58.68487172	Europe and Northern America	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	231	Ethiopia	ETH	39.63505296	8.631223181	Sub-Saharan Africa	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	242	Fiji	FJI	177.9660884	-17.83301566	Oceania, exc. Australia and New Zealand	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	246	Finland	FIN	23.308447	61.91586738	Europe and Northern America	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	250	France	FRA	2.457288129	46.62660861	Europe and Northern America	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	266	Gabon	GAB	11.78727747	-0.60687619	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	270	Gambia	GMB	-15.39944785	13.45295927	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	268	Georgia	GEO	43.3713615	42.04813028	Northern Africa and Western Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	276	Germany	DEU	10.3806066	51.08862743	Europe and Northern America	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	288	Ghana	GHA	-1.205623522	7.964825185	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	300	Greece	GRC	22.58307827	39.47301873	Europe and Northern America	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	308	Grenada	GRD	-61.68248568	12.11238395	Latin America and the Caribbean	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	320	Guatemala	GTM	-91.2312746	15.00273719	Latin America and the Caribbean	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	324	Guinea	GIN	-11.28173419	11.00210343	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	624	Guinea-Bissau	GNB	-14.40182514	12.11760394	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	328	Guyana	GUY	-58.97322037	4.788012784	Latin America and the Caribbean	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	332	Haiti	HTI	-72.33640958	18.40426539	Latin America and the Caribbean	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	340	Honduras	HND	-86.59974381	14.82243161	Latin America and the Caribbean	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	348	Hungary	HUN	19.41221519	47.1651448	Europe and Northern America	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	352	Iceland	ISL	-19.02116966	64.79134763	Europe and Northern America	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	356	India	IND	79.3608464	22.34642074	Central and Southern Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	360	Indonesia	IDN	113.9174	-0.994582204	Eastern and South-Eastern Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	364	Iran (Islamic Republic of)	IRN	54.19766348	32.74370885	Central and Southern Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	368	Iraq	IRQ	43.76606267	33.05013795	Northern Africa and Western Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	372	Ireland	IRL	-7.121425272	53.25274054	Europe and Northern America	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	376	Israel	ISR	34.62277992	31.06164552	Northern Africa and Western Asia	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	380	Italy	ITA	12.57022427	42.79917282	Europe and Northern America	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	388	Jamaica	JAM	-77.31068409	18.15616857	Latin America and the Caribbean	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	392	Japan	JPN	139.2716103	36.6554539	Eastern and South-Eastern Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	400	Jordan	JOR	37.13024774	30.65365973	Northern Africa and Western Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	398	Kazakhstan	KAZ	66.65359159	48.01963494	Central and Southern Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	404	Kenya	KEN	37.86096816	0.534797278	Sub-Saharan Africa	2019	8	Yes	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	296	Kiribati	KIR	-157.5643005	1.768837732	Oceania, exc. Australia and New Zealand	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	414	Kuwait	KWT	47.49305029	29.53949468	Northern Africa and Western Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	417	Kyrgyzstan	KGZ	74.52324839	41.46204516	Central and Southern Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	418	Lao People's Democratic Republic	LAO	101.9901968	20.27482773	Eastern and South-Eastern Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	428	Latvia	LVA	26.42461876	56.64196636	Europe and Northern America	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	422	Lebanon	LBN	35.89391711	33.92152458	Northern Africa and Western Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	426	Lesotho	LSO	28.25362195	-29.58041814	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	430	Liberia	LBR	-9.311879038	6.448381009	Sub-Saharan Africa	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	434	Libya	LBY	18.0295985	27.04042819	Northern Africa and Western Asia	2019	9	No	C	Country Data	G	Global	2019				True
IV.2q	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	2f5318b1	Presence of a gender quota for parliament (voluntary party quotas)	438	Liechtenstein	LIE	9.552985019	47.14167005	Europe and Northern America	2019	9	No	C	Country Data	G	Global	2019				True
